,subject,task,beta,kappa,s,LL
0,w0gzm0ufe,reward,0.015472250787261211,0.0,0.0,-54.94333956492913
0,w0gzm0ufe,loss,0.02450232522544681,0.0011790209515719035,1.0,-54.58294045093455
