"rt","key_press","immOpt","delOpt","delay","task","randomize","trial_type","trial_index","time_elapsed","internal_node_id","choice","timelineType","startdate","starttime","subject_id"
"264.40000000596046","80","4.99","5.00","90","reward","0","html-keyboard-response","124","112894","0.0-4.0-0.0-1.0-0.34","delayed","trial","27/05/2022","11:17:19","w0gzm0ufe"
"626.5999999940395","80","1.05","20.00","30","reward","1","html-keyboard-response","127","115528","0.0-4.0-0.0-1.0-0.35","immediate","trial","27/05/2022","11:17:19","w0gzm0ufe"
"493.7000000178814","81","0.09","10.00","180","reward","1","html-keyboard-response","130","118029","0.0-4.0-0.0-1.0-0.36","delayed","trial","27/05/2022","11:17:19","w0gzm0ufe"
"365.19999998807907","80","19.96","20.00","180","reward","1","html-keyboard-response","133","120402","0.0-4.0-0.0-1.0-0.37","immediate","trial","27/05/2022","11:17:19","w0gzm0ufe"
"303.39999997615814","80","9.17","10.00","90","reward","1","html-keyboard-response","136","122714","0.0-4.0-0.0-1.0-0.38","immediate","trial","27/05/2022","11:17:19","w0gzm0ufe"
"404.2999999821186","80","7.33","10.00","365","reward","0","html-keyboard-response","139","125124","0.0-4.0-0.0-1.0-0.39","delayed","trial","27/05/2022","11:17:19","w0gzm0ufe"
"514.5999999940395","80","-9.96","-10.00","365","loss","1","html-keyboard-response","143","127966","0.0-4.0-1.0-1.0-0.0","immediate","trial","27/05/2022","11:17:19","w0gzm0ufe"
"231.90000000596046","80","-4.99","-5.00","30","loss","0","html-keyboard-response","146","130205","0.0-4.0-1.0-1.0-0.1","delayed","trial","27/05/2022","11:17:19","w0gzm0ufe"
"286.69999998807907","80","-26.32","-50.00","90","loss","0","html-keyboard-response","149","132500","0.0-4.0-1.0-1.0-0.2","delayed","trial","27/05/2022","11:17:19","w0gzm0ufe"
"441.7000000178814","81","-9.55","-20.00","1095","loss","1","html-keyboard-response","152","134947","0.0-4.0-1.0-1.0-0.3","delayed","trial","27/05/2022","11:17:19","w0gzm0ufe"
"889.8999999761581","81","-3.66","-5.00","365","loss","0","html-keyboard-response","155","137844","0.0-4.0-1.0-1.0-0.4","immediate","trial","27/05/2022","11:17:19","w0gzm0ufe"
"320.69999998807907","81","-2.39","-5.00","1095","loss","1","html-keyboard-response","158","140171","0.0-4.0-1.0-1.0-0.5","delayed","trial","27/05/2022","11:17:19","w0gzm0ufe"
"314.2000000178814","80","-42.37","-50.00","180","loss","0","html-keyboard-response","161","142495","0.0-4.0-1.0-1.0-0.6","delayed","trial","27/05/2022","11:17:19","w0gzm0ufe"
"330.7999999821186","81","-10.53","-20.00","90","loss","0","html-keyboard-response","164","144832","0.0-4.0-1.0-1.0-0.7","immediate","trial","27/05/2022","11:17:19","w0gzm0ufe"
"749.5","80","-0.05","-10.00","365","loss","0","html-keyboard-response","167","147587","0.0-4.0-1.0-1.0-0.8","delayed","trial","27/05/2022","11:17:19","w0gzm0ufe"
"310.7000000178814","80","-0.53","-10.00","30","loss","1","html-keyboard-response","170","149905","0.0-4.0-1.0-1.0-0.9","immediate","trial","27/05/2022","11:17:19","w0gzm0ufe"
"393.69999998807907","80","-4.59","-5.00","90","loss","0","html-keyboard-response","173","152308","0.0-4.0-1.0-1.0-0.10","delayed","trial","27/05/2022","11:17:19","w0gzm0ufe"
"398.09999999403954","80","-0.09","-10.00","180","loss","1","html-keyboard-response","176","154713","0.0-4.0-1.0-1.0-0.11","immediate","trial","27/05/2022","11:17:19","w0gzm0ufe"
"372.59999999403954","81","-49.82","-50.00","365","loss","0","html-keyboard-response","179","157092","0.0-4.0-1.0-1.0-0.12","immediate","trial","27/05/2022","11:17:19","w0gzm0ufe"
"314.10000002384186","80","-4.99","-5.00","90","loss","0","html-keyboard-response","182","159413","0.0-4.0-1.0-1.0-0.13","delayed","trial","27/05/2022","11:17:19","w0gzm0ufe"
"359.09999999403954","80","-5.26","-10.00","90","loss","0","html-keyboard-response","185","161784","0.0-4.0-1.0-1.0-0.14","delayed","trial","27/05/2022","11:17:19","w0gzm0ufe"
"291.40000000596046","81","-3.85","-5.00","30","loss","0","html-keyboard-response","188","164083","0.0-4.0-1.0-1.0-0.15","immediate","trial","27/05/2022","11:17:19","w0gzm0ufe"
"379.30000001192093","80","-14.65","-20.00","365","loss","1","html-keyboard-response","191","166470","0.0-4.0-1.0-1.0-0.16","immediate","trial","27/05/2022","11:17:19","w0gzm0ufe"
"311","80","-0.42","-5.00","1095","loss","1","html-keyboard-response","194","168791","0.0-4.0-1.0-1.0-0.17","immediate","trial","27/05/2022","11:17:19","w0gzm0ufe"
"263.40000000596046","80","-17.86","-50.00","180","loss","1","html-keyboard-response","197","171065","0.0-4.0-1.0-1.0-0.18","immediate","trial","27/05/2022","11:17:19","w0gzm0ufe"
"1196.699999988079","80","-1.05","-20.00","30","loss","1","html-keyboard-response","200","174269","0.0-4.0-1.0-1.0-0.19","immediate","trial","27/05/2022","11:17:19","w0gzm0ufe"
"439.59999999403954","81","-49.91","-50.00","180","loss","0","html-keyboard-response","203","176717","0.0-4.0-1.0-1.0-0.20","immediate","trial","27/05/2022","11:17:19","w0gzm0ufe"
"263.2999999821186","81","-8.47","-10.00","180","loss","0","html-keyboard-response","206","178988","0.0-4.0-1.0-1.0-0.21","immediate","trial","27/05/2022","11:17:19","w0gzm0ufe"
"351.59999999403954","81","-4.24","-5.00","180","loss","0","html-keyboard-response","209","181351","0.0-4.0-1.0-1.0-0.22","immediate","trial","27/05/2022","11:17:19","w0gzm0ufe"
"339.5","81","-4.99","-5.00","180","loss","1","html-keyboard-response","212","183698","0.0-4.0-1.0-1.0-0.23","delayed","trial","27/05/2022","11:17:19","w0gzm0ufe"
"410.40000000596046","80","-38.46","-50.00","30","loss","0","html-keyboard-response","215","186117","0.0-4.0-1.0-1.0-0.24","delayed","trial","27/05/2022","11:17:19","w0gzm0ufe"
"356","81","-3.57","-10.00","180","loss","0","html-keyboard-response","218","188478","0.0-4.0-1.0-1.0-0.25","immediate","trial","27/05/2022","11:17:19","w0gzm0ufe"
"316.60000002384186","80","-7.14","-20.00","180","loss","1","html-keyboard-response","221","190802","0.0-4.0-1.0-1.0-0.26","immediate","trial","27/05/2022","11:17:19","w0gzm0ufe"
"329.59999999403954","81","-49.46","-50.00","1095","loss","1","html-keyboard-response","224","193140","0.0-4.0-1.0-1.0-0.27","delayed","trial","27/05/2022","11:17:19","w0gzm0ufe"
"265.7999999821186","80","-49.99","-50.00","30","loss","0","html-keyboard-response","227","195412","0.0-4.0-1.0-1.0-0.28","delayed","trial","27/05/2022","11:17:19","w0gzm0ufe"
"795.1000000238419","81","-9.17","-10.00","90","loss","1","html-keyboard-response","230","198219","0.0-4.0-1.0-1.0-0.29","delayed","trial","27/05/2022","11:17:19","w0gzm0ufe"
"325","80","-0.03","-20.00","1095","loss","1","html-keyboard-response","233","200554","0.0-4.0-1.0-1.0-0.30","immediate","trial","27/05/2022","11:17:19","w0gzm0ufe"
"235.09999999403954","81","-0.23","-50.00","365","loss","0","html-keyboard-response","236","202795","0.0-4.0-1.0-1.0-0.31","immediate","trial","27/05/2022","11:17:19","w0gzm0ufe"
"320.09999999403954","81","-0.18","-20.00","180","loss","0","html-keyboard-response","239","205119","0.0-4.0-1.0-1.0-0.32","immediate","trial","27/05/2022","11:17:19","w0gzm0ufe"
"317.90000000596046","81","-0.46","-50.00","180","loss","1","html-keyboard-response","242","207443","0.0-4.0-1.0-1.0-0.33","delayed","trial","27/05/2022","11:17:19","w0gzm0ufe"
"211.39999997615814","81","-0.05","-5.00","180","loss","0","html-keyboard-response","245","209662","0.0-4.0-1.0-1.0-0.34","immediate","trial","27/05/2022","11:17:19","w0gzm0ufe"
"214","81","-0.36","-20.00","90","loss","1","html-keyboard-response","248","211883","0.0-4.0-1.0-1.0-0.35","delayed","trial","27/05/2022","11:17:19","w0gzm0ufe"
"255.2000000178814","81","-2.63","-5.00","90","loss","0","html-keyboard-response","251","214143","0.0-4.0-1.0-1.0-0.36","immediate","trial","27/05/2022","11:17:19","w0gzm0ufe"
"669.3000000119209","80","-16.95","-20.00","180","loss","1","html-keyboard-response","254","216818","0.0-4.0-1.0-1.0-0.37","immediate","trial","27/05/2022","11:17:19","w0gzm0ufe"
"363.7000000178814","81","-4.77","-10.00","1095","loss","0","html-keyboard-response","257","219190","0.0-4.0-1.0-1.0-0.38","immediate","trial","27/05/2022","11:17:19","w0gzm0ufe"
"1551.2000000178814","80","-0.84","-10.00","1095","loss","0","html-keyboard-response","260","222751","0.0-4.0-1.0-1.0-0.39","delayed","trial","27/05/2022","11:17:19","w0gzm0ufe"
"613.8000000119209","81","26.32","50.00","90","reward","1","html-keyboard-response","264","225709","0.0-4.0-2.0-1.0-0.0","delayed","trial","27/05/2022","11:17:19","w0gzm0ufe"
"304","80","3.66","5.00","365","reward","0","html-keyboard-response","267","228022","0.0-4.0-2.0-1.0-0.1","delayed","trial","27/05/2022","11:17:19","w0gzm0ufe"
"1291","81","19.42","20.00","30","reward","1","html-keyboard-response","270","231323","0.0-4.0-2.0-1.0-0.2","delayed","trial","27/05/2022","11:17:19","w0gzm0ufe"
