"rt","key_press","immOpt","delOpt","delay","task","randomize","trial_type","trial_index","time_elapsed","internal_node_id","choice","timelineType","startdate","starttime","subject_id"
"391.09999999962747","81","0.05","10.00","365","reward","1","html-keyboard-response","127","121501","0.0-4.0-0.0-1.0-0.35","delayed","trial","04/03/2022","16:59:47","p992kaz2f"
"430.90000000037253","80","4.99","5.00","30","reward","0","html-keyboard-response","130","123940","0.0-4.0-0.0-1.0-0.36","delayed","trial","04/03/2022","16:59:47","p992kaz2f"
"587.3999999999069","81","0.18","10.00","90","reward","1","html-keyboard-response","133","126534","0.0-4.0-0.0-1.0-0.37","delayed","trial","04/03/2022","16:59:47","p992kaz2f"
"396.40000000037253","80","0.23","50.00","365","reward","0","html-keyboard-response","136","128937","0.0-4.0-0.0-1.0-0.38","delayed","trial","04/03/2022","16:59:47","p992kaz2f"
"371.39999999990687","81","0.09","20.00","365","reward","1","html-keyboard-response","139","131316","0.0-4.0-0.0-1.0-0.39","delayed","trial","04/03/2022","16:59:47","p992kaz2f"
"543.5","80","-4.59","-5.00","90","loss","0","html-keyboard-response","143","135675","0.0-4.0-1.0-1.0-0.0","delayed","trial","04/03/2022","16:59:47","p992kaz2f"
"448","80","-49.99","-50.00","30","loss","0","html-keyboard-response","146","138128","0.0-4.0-1.0-1.0-0.1","delayed","trial","04/03/2022","16:59:47","p992kaz2f"
"362.60000000009313","80","-0.02","-10.00","1095","loss","0","html-keyboard-response","149","140496","0.0-4.0-1.0-1.0-0.2","delayed","trial","04/03/2022","16:59:47","p992kaz2f"
"530.0999999996275","81","-0.09","-10.00","180","loss","1","html-keyboard-response","152","143032","0.0-4.0-1.0-1.0-0.3","delayed","trial","04/03/2022","16:59:47","p992kaz2f"
"608.2999999998137","81","-9.71","-10.00","30","loss","1","html-keyboard-response","155","145649","0.0-4.0-1.0-1.0-0.4","delayed","trial","04/03/2022","16:59:47","p992kaz2f"
"387","81","-9.96","-10.00","365","loss","1","html-keyboard-response","158","148046","0.0-4.0-1.0-1.0-0.5","delayed","trial","04/03/2022","16:59:47","p992kaz2f"
"465","80","-36.63","-50.00","365","loss","0","html-keyboard-response","161","150518","0.0-4.0-1.0-1.0-0.6","delayed","trial","04/03/2022","16:59:47","p992kaz2f"
"506.3000000002794","81","-0.02","-5.00","365","loss","1","html-keyboard-response","164","153032","0.0-4.0-1.0-1.0-0.7","delayed","trial","04/03/2022","16:59:47","p992kaz2f"
"395","80","-18.35","-20.00","90","loss","0","html-keyboard-response","167","155436","0.0-4.0-1.0-1.0-0.8","delayed","trial","04/03/2022","16:59:47","p992kaz2f"
"382.10000000009313","80","-9.98","-10.00","180","loss","0","html-keyboard-response","170","157823","0.0-4.0-1.0-1.0-0.9","delayed","trial","04/03/2022","16:59:47","p992kaz2f"
"416.3000000002794","80","-19.98","-20.00","90","loss","0","html-keyboard-response","173","160246","0.0-4.0-1.0-1.0-0.10","delayed","trial","04/03/2022","16:59:47","p992kaz2f"
"364","80","-0.46","-50.00","180","loss","0","html-keyboard-response","176","162615","0.0-4.0-1.0-1.0-0.11","delayed","trial","04/03/2022","16:59:47","p992kaz2f"
"409.60000000009313","80","-4.99","-5.00","180","loss","1","html-keyboard-response","179","165035","0.0-4.0-1.0-1.0-0.12","immediate","trial","04/03/2022","16:59:47","p992kaz2f"
"405.29999999981374","81","-14.65","-20.00","365","loss","1","html-keyboard-response","182","167451","0.0-4.0-1.0-1.0-0.13","delayed","trial","04/03/2022","16:59:47","p992kaz2f"
"377.79999999981374","80","-23.87","-50.00","1095","loss","0","html-keyboard-response","185","169834","0.0-4.0-1.0-1.0-0.14","delayed","trial","04/03/2022","16:59:47","p992kaz2f"
"270.79999999981374","81","-3.85","-5.00","30","loss","1","html-keyboard-response","188","172111","0.0-4.0-1.0-1.0-0.15","delayed","trial","04/03/2022","16:59:47","p992kaz2f"
"382.90000000037253","80","-1.05","-20.00","30","loss","0","html-keyboard-response","191","174501","0.0-4.0-1.0-1.0-0.16","delayed","trial","04/03/2022","16:59:47","p992kaz2f"
"398.1999999997206","80","-19.99","-20.00","30","loss","0","html-keyboard-response","194","176906","0.0-4.0-1.0-1.0-0.17","delayed","trial","04/03/2022","16:59:47","p992kaz2f"
"376.89999999990687","80","-7.33","-10.00","365","loss","0","html-keyboard-response","197","179290","0.0-4.0-1.0-1.0-0.18","delayed","trial","04/03/2022","16:59:47","p992kaz2f"
"348.10000000009313","80","-49.82","-50.00","365","loss","0","html-keyboard-response","200","181643","0.0-4.0-1.0-1.0-0.19","delayed","trial","04/03/2022","16:59:47","p992kaz2f"
"328.10000000009313","80","-4.99","-5.00","30","loss","1","html-keyboard-response","203","183977","0.0-4.0-1.0-1.0-0.20","immediate","trial","04/03/2022","16:59:47","p992kaz2f"
"301.39999999990687","81","-1.67","-20.00","1095","loss","0","html-keyboard-response","206","186286","0.0-4.0-1.0-1.0-0.21","immediate","trial","04/03/2022","16:59:47","p992kaz2f"
"600.8999999999069","80","-0.03","-20.00","1095","loss","1","html-keyboard-response","209","188895","0.0-4.0-1.0-1.0-0.22","immediate","trial","04/03/2022","16:59:47","p992kaz2f"
"363.60000000009313","81","-4.95","-5.00","1095","loss","0","html-keyboard-response","212","191266","0.0-4.0-1.0-1.0-0.23","immediate","trial","04/03/2022","16:59:47","p992kaz2f"
"502.6999999997206","80","-7.14","-20.00","180","loss","1","html-keyboard-response","215","193778","0.0-4.0-1.0-1.0-0.24","immediate","trial","04/03/2022","16:59:47","p992kaz2f"
"414.59999999962747","81","-0.18","-20.00","180","loss","1","html-keyboard-response","218","196202","0.0-4.0-1.0-1.0-0.25","delayed","trial","04/03/2022","16:59:47","p992kaz2f"
"419.79999999981374","81","-3.66","-5.00","365","loss","1","html-keyboard-response","221","198629","0.0-4.0-1.0-1.0-0.26","delayed","trial","04/03/2022","16:59:47","p992kaz2f"
"505.6999999997206","80","-19.78","-20.00","1095","loss","0","html-keyboard-response","224","201141","0.0-4.0-1.0-1.0-0.27","delayed","trial","04/03/2022","16:59:47","p992kaz2f"
"489.70000000018626","81","-2.63","-50.00","30","loss","1","html-keyboard-response","227","203637","0.0-4.0-1.0-1.0-0.28","delayed","trial","04/03/2022","16:59:47","p992kaz2f"
"391.59999999962747","81","-10.75","-50.00","365","loss","1","html-keyboard-response","230","206035","0.0-4.0-1.0-1.0-0.29","delayed","trial","04/03/2022","16:59:47","p992kaz2f"
"356.29999999981374","81","-0.42","-5.00","1095","loss","1","html-keyboard-response","233","208400","0.0-4.0-1.0-1.0-0.30","delayed","trial","04/03/2022","16:59:47","p992kaz2f"
"498","80","-17.86","-50.00","180","loss","0","html-keyboard-response","236","210909","0.0-4.0-1.0-1.0-0.31","delayed","trial","04/03/2022","16:59:47","p992kaz2f"
"366.5","81","-4.99","-5.00","90","loss","1","html-keyboard-response","239","213285","0.0-4.0-1.0-1.0-0.32","delayed","trial","04/03/2022","16:59:47","p992kaz2f"
"433.29999999981374","81","-45.87","-50.00","90","loss","1","html-keyboard-response","242","215725","0.0-4.0-1.0-1.0-0.33","delayed","trial","04/03/2022","16:59:47","p992kaz2f"
"488.39999999990687","80","-49.46","-50.00","1095","loss","0","html-keyboard-response","245","218223","0.0-4.0-1.0-1.0-0.34","delayed","trial","04/03/2022","16:59:47","p992kaz2f"
"459.89999999990687","81","-0.05","-5.00","180","loss","1","html-keyboard-response","248","220690","0.0-4.0-1.0-1.0-0.35","delayed","trial","04/03/2022","16:59:47","p992kaz2f"
"449","80","-0.01","-5.00","1095","loss","0","html-keyboard-response","251","223149","0.0-4.0-1.0-1.0-0.36","delayed","trial","04/03/2022","16:59:47","p992kaz2f"
