"rt","key_press","immOpt","delOpt","delay","task","randomize","trial_type","trial_index","time_elapsed","internal_node_id","choice","timelineType","startdate","starttime","subject_id"
"341.90000000596046","80","-4.99","-5.00","180","loss","1","html-keyboard-response","124","111528","0.0-4.0-0.0-1.0-0.34","immediate","trial","24/05/2022","17:24:11","o8abhhcn7"
"338.69999998807907","80","-4.77","-10.00","1095","loss","0","html-keyboard-response","127","113876","0.0-4.0-0.0-1.0-0.35","delayed","trial","24/05/2022","17:24:11","o8abhhcn7"
"321.40000000596046","80","-2.63","-5.00","90","loss","0","html-keyboard-response","130","116208","0.0-4.0-0.0-1.0-0.36","delayed","trial","24/05/2022","17:24:11","o8abhhcn7"
"346.5","80","-0.05","-5.00","180","loss","1","html-keyboard-response","133","118561","0.0-4.0-0.0-1.0-0.37","immediate","trial","24/05/2022","17:24:11","o8abhhcn7"
"394.80000001192093","80","-3.57","-10.00","180","loss","1","html-keyboard-response","136","120965","0.0-4.0-0.0-1.0-0.38","immediate","trial","24/05/2022","17:24:11","o8abhhcn7"
"356.80000001192093","80","-7.33","-10.00","365","loss","0","html-keyboard-response","139","123329","0.0-4.0-0.0-1.0-0.39","delayed","trial","24/05/2022","17:24:11","o8abhhcn7"
"469.09999999403954","80","0.05","5.00","180","reward","0","html-keyboard-response","143","126146","0.0-4.0-1.0-1.0-0.0","delayed","trial","24/05/2022","17:24:11","o8abhhcn7"
"728.4000000059605","80","46.73","50.00","7","reward","1","html-keyboard-response","146","128882","0.0-4.0-1.0-1.0-0.1","immediate","trial","24/05/2022","17:24:11","o8abhhcn7"
"1448.5999999940395","80","7.14","20.00","180","reward","0","html-keyboard-response","149","132340","0.0-4.0-1.0-1.0-0.2","delayed","trial","24/05/2022","17:24:11","o8abhhcn7"
"508.69999998807907","80","1.08","5.00","365","reward","0","html-keyboard-response","152","134859","0.0-4.0-1.0-1.0-0.3","delayed","trial","24/05/2022","17:24:11","o8abhhcn7"
"545.3999999761581","80","14.65","20.00","365","reward","1","html-keyboard-response","155","137411","0.0-4.0-1.0-1.0-0.4","immediate","trial","24/05/2022","17:24:11","o8abhhcn7"
"1643.2999999821186","80","9.71","10.00","30","reward","0","html-keyboard-response","158","141064","0.0-4.0-1.0-1.0-0.5","delayed","trial","24/05/2022","17:24:11","o8abhhcn7"
"425","80","19.99","20.00","7","reward","1","html-keyboard-response","161","143498","0.0-4.0-1.0-1.0-0.6","immediate","trial","24/05/2022","17:24:11","o8abhhcn7"
"305.40000000596046","80","48.54","50.00","30","reward","1","html-keyboard-response","164","145814","0.0-4.0-1.0-1.0-0.7","immediate","trial","24/05/2022","17:24:11","o8abhhcn7"
"551.7999999821186","80","5.26","10.00","90","reward","1","html-keyboard-response","167","148376","0.0-4.0-1.0-1.0-0.8","immediate","trial","24/05/2022","17:24:11","o8abhhcn7"
"368.69999998807907","80","9.99","10.00","30","reward","1","html-keyboard-response","170","150750","0.0-4.0-1.0-1.0-0.9","immediate","trial","24/05/2022","17:24:11","o8abhhcn7"
"368.2000000178814","80","4.99","5.00","90","reward","1","html-keyboard-response","173","153127","0.0-4.0-1.0-1.0-0.10","immediate","trial","24/05/2022","17:24:11","o8abhhcn7"
"326.80000001192093","80","18.69","20.00","7","reward","1","html-keyboard-response","176","155460","0.0-4.0-1.0-1.0-0.11","immediate","trial","24/05/2022","17:24:11","o8abhhcn7"
"403.89999997615814","80","19.99","20.00","30","reward","1","html-keyboard-response","179","157873","0.0-4.0-1.0-1.0-0.12","immediate","trial","24/05/2022","17:24:11","o8abhhcn7"
"333.5","80","3.85","20.00","7","reward","0","html-keyboard-response","182","160213","0.0-4.0-1.0-1.0-0.13","delayed","trial","24/05/2022","17:24:11","o8abhhcn7"
"517","80","2.15","10.00","365","reward","1","html-keyboard-response","185","162739","0.0-4.0-1.0-1.0-0.14","immediate","trial","24/05/2022","17:24:11","o8abhhcn7"
"313.40000000596046","80","4.99","5.00","180","reward","1","html-keyboard-response","188","165062","0.0-4.0-1.0-1.0-0.15","immediate","trial","24/05/2022","17:24:11","o8abhhcn7"
"898.2999999821186","80","1.92","10.00","7","reward","1","html-keyboard-response","191","167968","0.0-4.0-1.0-1.0-0.16","immediate","trial","24/05/2022","17:24:11","o8abhhcn7"
"350.2999999821186","80","0.23","50.00","365","reward","1","html-keyboard-response","194","170327","0.0-4.0-1.0-1.0-0.17","immediate","trial","24/05/2022","17:24:11","o8abhhcn7"
"582","80","4.30","20.00","365","reward","0","html-keyboard-response","197","172915","0.0-4.0-1.0-1.0-0.18","delayed","trial","24/05/2022","17:24:11","o8abhhcn7"
"404.59999999403954","80","10.75","50.00","365","reward","1","html-keyboard-response","200","175329","0.0-4.0-1.0-1.0-0.19","immediate","trial","24/05/2022","17:24:11","o8abhhcn7"
"303.40000000596046","80","15.38","20.00","30","reward","1","html-keyboard-response","203","177639","0.0-4.0-1.0-1.0-0.20","immediate","trial","24/05/2022","17:24:11","o8abhhcn7"
"840.5","80","0.18","20.00","180","reward","1","html-keyboard-response","206","180486","0.0-4.0-1.0-1.0-0.21","immediate","trial","24/05/2022","17:24:11","o8abhhcn7"
"679.4000000059605","80","4.99","5.00","30","reward","1","html-keyboard-response","209","183170","0.0-4.0-1.0-1.0-0.22","immediate","trial","24/05/2022","17:24:11","o8abhhcn7"
"251.09999999403954","80","0.09","20.00","365","reward","1","html-keyboard-response","212","185429","0.0-4.0-1.0-1.0-0.23","immediate","trial","24/05/2022","17:24:11","o8abhhcn7"
